Partei,Datum,Uhrzeit,Slideshow,Slide,Likes,Kommentare,Dateiname,Farbanteil
die_gruenen,2017-04-30,08-50-17,0,1,828,3,2017-04-30_08-50-17_UTC.jpg,0.3902
die_gruenen,2017-05-02,14-13-04,0,1,525,29,2017-05-02_14-13-04_UTC.jpg,0.3644
die_gruenen,2017-05-02,14-18-31,0,1,241,1,2017-05-02_14-18-31_UTC.jpg,0.7056
die_gruenen,2017-05-02,15-05-39,0,1,200,5,2017-05-02_15-05-39_UTC.jpg,0.32
die_gruenen,2017-05-03,09-37-32,0,1,474,9,2017-05-03_09-37-32_UTC.jpg,0.3373
die_gruenen,2017-05-04,14-13-35,0,1,506,7,2017-05-04_14-13-35_UTC.jpg,0.076
die_gruenen,2017-05-06,15-05-18,0,1,758,59,2017-05-06_15-05-18_UTC.jpg,0.3609
die_gruenen,2017-05-07,18-21-03,0,1,669,7,2017-05-07_18-21-03_UTC.jpg,0.3836
die_gruenen,2017-05-07,18-21-50,0,1,890,21,2017-05-07_18-21-50_UTC.jpg,0.551
die_gruenen,2017-05-10,16-59-37,0,1,537,6,2017-05-10_16-59-37_UTC.jpg,0.2052
die_gruenen,2017-05-17,08-48-53,0,1,1618,52,2017-05-17_08-48-53_UTC.jpg,0.1744
die_gruenen,2017-05-22,12-13-14,0,1,453,18,2017-05-22_12-13-14_UTC.jpg,0.2645
die_gruenen,2017-05-22,12-18-06,0,1,1382,36,2017-05-22_12-18-06_UTC.jpg,0.1777
die_gruenen,2017-05-22,15-55-36,0,1,770,16,2017-05-22_15-55-36_UTC.jpg,0.2796
die_gruenen,2017-05-24,14-38-24,0,1,364,5,2017-05-24_14-38-24_UTC.jpg,0.0482
die_gruenen,2017-05-25,09-03-56,0,1,853,43,2017-05-25_09-03-56_UTC.jpg,0.2237
die_gruenen,2017-05-26,13-30-31,0,1,525,6,2017-05-26_13-30-31_UTC.jpg,0.3277
die_gruenen,2017-05-29,16-38-35,0,1,591,6,2017-05-29_16-38-35_UTC.jpg,0.2682
die_gruenen,2017-05-30,09-21-04,0,1,477,12,2017-05-30_09-21-04_UTC.jpg,0.4973
die_gruenen,2017-06-01,09-28-15,0,1,385,7,2017-06-01_09-28-15_UTC.jpg,0.4796
die_gruenen,2017-06-01,20-06-27,0,1,1016,24,2017-06-01_20-06-27_UTC.jpg,0.4075
die_gruenen,2017-06-02,07-53-43,1,1,1016,24,2017-06-02_07-53-43_UTC_1.jpg,0.4763
die_gruenen,2017-06-02,07-53-43,1,2,1016,24,2017-06-02_07-53-43_UTC_2.jpg,0.3877
die_gruenen,2017-06-02,07-53-43,1,3,1016,24,2017-06-02_07-53-43_UTC_3.jpg,0.0097
die_gruenen,2017-06-02,07-53-43,1,4,1016,24,2017-06-02_07-53-43_UTC_4.jpg,0.5316
die_gruenen,2017-06-02,07-53-43,1,5,1016,24,2017-06-02_07-53-43_UTC_5.jpg,0.0043
die_gruenen,2017-06-02,07-53-43,1,6,1016,24,2017-06-02_07-53-43_UTC_6.jpg,0.4085
die_gruenen,2017-06-03,09-16-12,0,1,389,5,2017-06-03_09-16-12_UTC.jpg,0.0287
die_gruenen,2017-06-03,10-03-23,0,1,335,26,2017-06-03_10-03-23_UTC.jpg,0.2454
die_gruenen,2017-06-05,08-07-56,0,1,449,14,2017-06-05_08-07-56_UTC.jpg,0.0095
die_gruenen,2017-06-09,14-54-42,0,1,495,14,2017-06-09_14-54-42_UTC.jpg,0.0001
die_gruenen,2017-06-10,11-38-42,0,1,577,28,2017-06-10_11-38-42_UTC.jpg,0.0015
die_gruenen,2017-06-10,18-27-02,0,1,380,7,2017-06-10_18-27-02_UTC.jpg,0.2023
die_gruenen,2017-06-12,15-51-32,0,1,552,16,2017-06-12_15-51-32_UTC.jpg,0.2098
die_gruenen,2017-06-14,18-04-58,0,1,607,31,2017-06-14_18-04-58_UTC.jpg,0.2189
die_gruenen,2017-06-14,18-19-54,0,1,362,2,2017-06-14_18-19-54_UTC.jpg,0.1907
die_gruenen,2017-06-15,08-57-11,0,1,564,21,2017-06-15_08-57-11_UTC.jpg,0.0536
die_gruenen,2017-06-16,12-43-13,0,1,248,2,2017-06-16_12-43-13_UTC.jpg,0.0671
die_gruenen,2017-06-16,15-43-56,0,1,240,1,2017-06-16_15-43-56_UTC.jpg,0.0611
die_gruenen,2017-06-16,16-02-33,0,1,207,1,2017-06-16_16-02-33_UTC.jpg,0.0577
die_gruenen,2017-06-16,17-28-09,0,1,248,3,2017-06-16_17-28-09_UTC.jpg,0.265
die_gruenen,2017-06-16,18-33-32,0,1,340,3,2017-06-16_18-33-32_UTC.jpg,0.0413
die_gruenen,2017-06-16,19-20-28,0,1,292,1,2017-06-16_19-20-28_UTC.jpg,0.0114
die_gruenen,2017-06-16,21-12-45,0,1,266,5,2017-06-16_21-12-45_UTC.jpg,0.0921
die_gruenen,2017-06-17,09-50-18,0,1,197,0,2017-06-17_09-50-18_UTC.jpg,0.0145
die_gruenen,2017-06-17,11-40-00,0,1,199,0,2017-06-17_11-40-00_UTC.jpg,0.2259
die_gruenen,2017-06-17,14-16-33,0,1,240,0,2017-06-17_14-16-33_UTC.jpg,0.0313
die_gruenen,2017-06-17,14-54-24,0,1,508,57,2017-06-17_14-54-24_UTC.jpg,0.087
die_gruenen,2017-06-17,15-12-04,0,1,544,4,2017-06-17_15-12-04_UTC.jpg,0.1631
die_gruenen,2017-06-17,17-59-20,0,1,395,8,2017-06-17_17-59-20_UTC.jpg,0.0284
die_gruenen,2017-06-17,20-08-16,0,1,974,49,2017-06-17_20-08-16_UTC.jpg,0.1375
die_gruenen,2017-06-18,09-11-04,0,1,216,1,2017-06-18_09-11-04_UTC.jpg,0.023
die_gruenen,2017-06-18,09-48-21,0,1,211,0,2017-06-18_09-48-21_UTC.jpg,0.1085
die_gruenen,2017-06-18,12-36-51,0,1,432,23,2017-06-18_12-36-51_UTC.jpg,0.123
